full_name,rating,jersey,team,position,b_day,height,weight,salary,country,draft_year,draft_round,draft_peak,college
Jarrett Allen,79,#31,Brooklyn Nets,C,04/20/98,2.11,106.1,2376840.0,USA,2017,1,22,Texas
Lonzo Ball,79,#2,New Orleans Pelicans,G,10/27/97,1.98,86.2,8719320.0,USA,2017,1,2,UCLA
Harrison Barnes,79,#40,Sacramento Kings,F,05/30/92,2.03,95.3,24147727.0,USA,2012,1,7,North Carolina
Patrick Beverley,79,#21,Los Angeles Clippers,G,07/12/88,1.85,81.6,12345680.0,USA,2009,2,42,Arkansas
Jaylen Brown,79,#7,Boston Celtics,F,10/24/96,1.98,101.2,6534829.0,USA,2016,1,3,California
Willie Cauley-Stein,79,#0,Dallas Mavericks,C,08/18/93,2.13,109.8,2177483.0,USA,2015,1,6,Kentucky
Goran Dragic,79,#7,Miami Heat,G,05/06/86,1.91,86.2,19217900.0,Slovenia,2008,2,45,
Shai Gilgeous-Alexander,79,#2,Oklahoma City Thunder,G,07/12/98,1.96,81.6,3952920.0,Canada,2018,1,11,Kentucky
Gary Harris,79,#14,Denver Nuggets,G,09/14/94,1.93,93.0,17839286.0,USA,2014,1,19,Michigan State
Joe Ingles,79,#2,Utah Jazz,F,10/02/87,2.01,94.8,11454546.0,Australia,2009,Undrafted,Undrafted,
Jeremy Lamb,79,#26,Indiana Pacers,G,05/30/92,1.96,81.6,10500000.0,USA,2012,1,12,UConn
Brook Lopez,79,#11,Milwaukee Bucks,C,04/01/88,2.13,120.2,12093024.0,USA,2008,1,10,Stanford
JaVale McGee,79,#7,Los Angeles Lakers,C,01/19/88,2.13,122.5,4000000.0,USA,2008,1,18,Nevada
Mitchell Robinson,79,#23,New York Knicks,C,04/01/98,2.13,101.2,1559712.0,USA,2018,2,36,
Terrence Ross,79,#8,Orlando Magic,G,02/05/91,1.98,93.4,12500000.0,USA,2012,1,8,Washington
Tristan Thompson,79,#13,Cleveland Cavaliers,F,03/13/91,2.06,102.1,18539130.0,Canada,2011,1,4,Texas
PJ Tucker,79,#17,Houston Rockets,F,05/05/85,1.96,102.1,8349039.0,USA,2006,2,35,Texas
Fred VanVleet,79,#23,Toronto Raptors,G,02/25/94,1.85,89.4,9346153.0,USA,2006,Undrafted,Undrafted,Wichita State
Andrew Wiggins,79,#22,Golden State Warriors,F,02/23/95,2.01,89.4,27504630.0,Canada,2014,1,1,Kansas
Thaddeus Young,79,#21,Chicago Bulls,F,06/21/88,2.03,99.8,12900000.0,USA,2007,1,12,Georgia Tech
RJ Barrett,78,#9,New York Knicks,G,06/14/00,1.98,91.6,7839960.0,Canada,2019,1,3,Duke
Ricky Rubio,78,#11,Phoenix Suns,G,10/21/90,1.91,81.6,16200000.0,Spain,2009,1,5,
Will Barton,78,#5,Denver Nuggets,G,01/06/91,1.96,79.4,12776786.0,USA,2012,2,40,Memphis
Bogdan Bogdanovic,78,#8,Sacramento Kings,G,08/18/92,1.98,93.0,8529386.0,Serbia,2014,1,27,
Thomas Bryant,78,#13,Washington Wizards,F-C,07/31/97,2.08,109.3,8000000.0,USA,2017,2,42,Indiana
Wendell Carter,78,#34,Chicago Bulls,C,04/16/99,2.06,117.5,5201400.0,USA,2018,1,7,Duke
Jordan Clarkson,78,#8,Utah Jazz,G,06/07/92,1.93,84.4,13437500.0,Philippines,2014,2,46,Missouri
Evan Fournier,78,#10,Orlando Magic,G,10/29/92,2.01,86.2,17150000.0,France,2012,1,20,
Eric Gordon,78,#10,Houston Rockets,G,12/25/88,1.91,97.5,14057730.0,USA,2008,1,7,Indiana
JaMychal Green,78,#4,Los Angeles Clippers,F,06/21/90,2.03,99.8,4767000.0,USA,2012,Undrafted,Undrafted,Alabama
Joe Harris,78,#12,Brooklyn Nets,G,09/06/91,1.98,97.5,7666667.0,USA,2014,2,33,Virginia
Andre Iguodala,78,#9,Miami Heat,G-F,01/28/84,1.98,93.9,17185185.0,USA,2004,1,9,Arizona
Caris LeVert,78,#22,Brooklyn Nets,G,08/25/94,1.98,86.6,2625717.0,USA,2016,1,20,Michigan
Marcus Morris,78,#0,Los Angeles Clippers,F,09/02/89,2.03,106.6,15000000.0,USA,2011,1,14,Kansas
Dejounte Murray,78,#5,San Antonio Spurs,G,09/19/96,1.93,77.1,2321735.0,USA,2016,1,29,Washington
Larry Nance Jr,78,#22,Cleveland Cavaliers,F,01/01/93,2.01,103.0,12727273.0,USA,2015,1,27,Wyoming
Kelly Olynyk,78,#9,Miami Heat,C,04/19/91,2.11,106.1,12667885.0,Canada,2013,1,13,Gonzaga
Kelly Oubre,78,#3,Phoenix Suns,F-G,12/09/95,2.01,92.1,15625000.0,USA,2015,1,15,Kansas
Jabari Parker,78,#0,Sacramento Kings,F,03/15/95,2.03,106.6,6500000.0,USA,2014,1,2,Duke
Bobby Portis,78,#1,New York Knicks,F-C,02/10/95,2.08,111.6,15000000.0,USA,2015,1,22,Arkansas
Terry Rozier,78,#3,Charlotte Hornets,G,03/17/94,1.85,86.2,19894737.0,USA,2015,1,16,Louisville
Dennis Schroeder,78,#17,Oklahoma City Thunder,G,09/15/93,1.85,78.0,15500000.0,Germany,2013,1,17,
Jeff Teague,78,#0,Atlanta Hawks,G,06/10/88,1.91,82.1,19000000.0,USA,2009,1,19,Wake Forest
Derrick White,78,#4,San Antonio Spurs,G,07/02/94,1.93,90.7,1948080.0,USA,2017,1,29,Colorado
Justise Winslow,78,#0,Memphis Grizzlies,F,03/26/96,1.98,100.7,13000000.0,USA,2015,1,10,Duke
Darius Garland,77,#10,Cleveland Cavaliers,G,06/26/00,1.85,79.4,6400920.0,USA,2019,1,5,Vanderbilt
De'Andre Hunter,77,#12,Atlanta Hawks,F,12/01/97,2.01,102.1,7068360.0,USA,2019,1,4,Virginia
Al-Farouq Aminu,77,#2,Orlando Magic,F,09/21/90,2.03,97.5,9258000.0,Nigeria,2010,1,8,Wake Forest
Mo Bamba,77,#5,Orlando Magic,C,05/12/98,2.13,102.1,5697600.0,USA,2018,1,6,Texas
Nicolas Batum,77,#5,Charlotte Hornets,F-G,12/14/88,2.06,95.3,25565217.0,France,2008,1,25,
Malik Beasley,77,#0,Minnesota Timberwolves,G,11/26/96,1.93,89.8,2731713.0,USA,2016,1,19,Florida State
Nemanja Bjelica,77,#88,Sacramento Kings,F-G,05/09/88,2.08,101.6,6825000.0,Serbia,2010,2,35,
DeMarre Carroll,77,#0,Houston Rockets,F,07/27/86,1.98,96.2,7339258.0,USA,2009,1,27,Missouri
Ed Davis,77,#17,Utah Jazz,F,06/05/89,2.06,97.5,4767000.0,USA,2010,1,13,North Carolina
Taj Gibson,77,#67,New York Knicks,F,06/24/85,2.06,102.1,9000000.0,USA,2009,1,26,USC
Jerami Grant,77,#9,Denver Nuggets,F,03/12/94,2.03,97.1,9346153.0,USA,2014,2,39,Syracuse
Danny Green,77,#14,Los Angeles Lakers,G,06/22/87,1.98,94.8,14634147.0,USA,2009,2,46,North Carolina
Tim Hardaway Jr,77,#11,Dallas Mavericks,G,03/16/92,1.96,90.3,20025127.0,USA,2013,1,24,Michigan
Alex Len,77,#0,Sacramento Kings,C,06/16/93,2.13,102.1,4160000.0,Ukraine,2013,1,5,Maryland
Kevon Looney,77,#5,Golden State Warriors,F,02/06/96,2.06,100.7,4464286.0,USA,2015,1,30,UCLA
Monte Morris,77,#11,Denver Nuggets,G,06/27/95,1.88,79.4,1588231.0,USA,2017,2,51,Iowa State
Nerlens Noel,77,#9,Oklahoma City Thunder,F-C,04/10/94,2.08,93.4,1882867.0,USA,2013,1,6,Kentucky
Mason Plumlee,77,#24,Denver Nuggets,C-F,03/05/90,2.11,108.0,14041096.0,USA,2013,1,22,Duke
Jakob Poeltl,77,#25,San Antonio Spurs,C-F,10/15/95,2.16,108.4,3754885.0,Austria,2016,1,9,Utah
Dwight Powell,77,#7,Dallas Mavericks,F-C,07/20/91,2.08,106.1,10259375.0,Canada,2014,2,45,Stanford
Taurean Prince,77,#2,Brooklyn Nets,F,03/22/94,2.01,99.8,3481985.0,USA,2016,1,12,Baylor
Dario Saric,77,#20,Phoenix Suns,F,04/08/94,2.08,98.0,3481985.0,Croatia,2014,1,12,
Collin Sexton,77,#2,Cleveland Cavaliers,G,01/04/99,1.85,86.2,4764960.0,USA,2018,1,8,Alabama
Dennis Smith,77,#5,New York Knicks,G,11/25/97,1.88,88.5,4463640.0,USA,2017,1,9,NC State
Cody Zeller,77,#40,Charlotte Hornets,C-F,10/05/92,2.13,104.3,14471910.0,USA,2013,1,4,Indiana
Ivica Zubac,77,#40,Los Angeles Clippers,C,03/18/97,2.13,120.2,6481482.0,Croatia,2016,2,32,
Jarrett Culver,77,#23,Minnesota Timberwolves,G,02/20/99,1.98,88.5,5813640.0,USA,2019,1,6,Texas Tech
Willy Hernangomez,76,#9,Charlotte Hornets,C-F,05/27/94,2.11,115.7,1676735.0,Spain,2015,2,35,
Trevor Ariza,76,#0,Portland Trail Blazers,F-G,06/30/85,2.03,95.3,12200000.0,USA,2004,2,43,UCLA
DJ Augustin,76,#14,Orlando Magic,G,11/10/87,1.8,81.6,7250000.0,USA,2008,1,9,Texas
Jose Juan Barea,76,#5,Dallas Mavericks,G,06/26/84,1.78,79.4,2564753.0,Puerto Rico,2006,Undrafted,Undrafted,Northeastern
Michael Beasley,76,#0,,F,01/09/89,2.08,106.6,3500000.0,USA,2008,1,2,Kansas State
Davis Bertans,76,#42,Washington Wizards,F,11/12/92,2.08,95.7,7000000.0,Latvia,2011,2,42,
Avery Bradley,76,#11,Los Angeles Lakers,G,11/26/90,1.91,88.5,6767000.0,USA,2010,1,19,Texas
Miles Bridges,76,#0,Charlotte Hornets,F,03/21/98,1.98,102.1,3755400.0,USA,2018,1,12,Michigan State
Jalen Brunson,76,#13,Dallas Mavericks,G,08/31/96,1.85,86.2,1416852.0,USA,2018,2,33,Villanova
Kentavious Caldwell-Pope,76,#1,Los Angeles Lakers,G,02/18/93,1.96,92.5,8089282.0,USA,2013,1,8,Georgia
Jae Crowder,76,#99,Miami Heat,F,07/06/90,1.98,106.6,7815533.0,USA,2012,2,34,Marquette
Dewayne Dedmon,76,#0,Atlanta Hawks,C,08/12/89,2.13,108.4,13333334.0,USA,2013,Undrafted,Undrafted,USC
Gorgui Dieng,76,#0,Memphis Grizzlies,C,01/18/90,2.08,104.3,16229213.0,Senegal,2013,1,21,Louisville
Gerald Green,76,#0,,F-G,01/26/86,1.98,87.1,2564753.0,USA,2005,1,18,
Jeff Green,76,#34,Houston Rockets,F,08/28/86,2.03,106.6,3405180.0,USA,2007,1,5,Georgetown
Rodney Hood,76,#5,Portland Trail Blazers,F,10/20/92,2.03,94.3,5718000.0,USA,2014,1,23,Duke
Kevin Huerter,76,#3,Atlanta Hawks,G,08/27/98,2.01,86.2,2636280.0,USA,2018,1,19,Maryland
Ersan Ilyasova,76,#7,Milwaukee Bucks,F,05/15/87,2.06,106.6,7000000.0,Turkey,2005,2,36,
Jonathan Isaac,76,#1,Orlando Magic,F,10/03/97,2.11,93.0,5806440.0,USA,2017,1,6,Florida State
Josh Jackson,76,#20,Memphis Grizzlies,F,02/10/97,2.03,92.1,7059480.0,USA,2017,1,4,Kansas
Frank Kaminsky,76,#8,Phoenix Suns,F-C,04/04/93,2.13,104.8,4767000.0,USA,2015,1,9,Wisconsin
Michael Kidd-Gilchrist,76,#0,Dallas Mavericks,F,09/26/93,1.98,105.2,12784359.0,USA,2012,1,2,Kentucky
Kevin Knox,76,#20,New York Knicks,F,08/11/99,2.01,97.5,4380120.0,USA,2018,1,9,Kentucky
Meyers Leonard,76,#0,Miami Heat,C,02/27/92,2.13,111.1,11286515.0,USA,2012,1,11,Illinois 
Wesley Matthews,76,#9,Milwaukee Bucks,G,10/14/86,1.93,99.8,2564753.0,USA,2009,Undrafted,Undrafted,Marquette
Emmanuel Mudiay,76,#8,Utah Jazz,G,03/05/96,1.91,86.2,1737145.0,Democratic Republic of the Congo,2015,1,7,
Jahlil Okafor,76,#8,New Orleans Pelicans,C,12/15/95,2.08,122.5,1702486.0,USA,2015,1,3,Duke
Elfrid Payton,76,#6,New York Knicks,G,02/22/94,1.91,83.9,8000000.0,USA,2014,1,10,Louisiana
Michael Porter,76,#1,Denver Nuggets,F,06/29/98,2.08,97.5,3389400.0,USA,2018,1,14,Missouri 
Austin Rivers,76,#25,Houston Rockets,G,08/01/92,1.91,90.7,2174310.0,USA,2012,1,10,Duke
Andre Roberson,76,#21,Oklahoma City Thunder,G-F,12/04/91,2.01,93.4,10740740.0,USA,2013,1,26,Colorado 
Rajon Rondo,76,#9,Los Angeles Lakers,G,02/22/86,1.85,84.4,2564753.0,USA,2006,1,21,Kentucky
Landry Shamet,76,#20,Los Angeles Clippers,G,03/13/97,1.93,81.6,1995120.0,USA,2018,1,26,Wichita State
Daniel Theis,76,#27,Boston Celtics,C,04/04/92,2.03,97.5,5000000.0,Germany,2013,Undrafted,Undrafted,
Isaiah Thomas,76,#0,,G,02/07/89,1.75,83.9,2320044.0,USA,2011,2,60,Washington
Dion Waiters,76,#11,Los Angeles Lakers,G,12/10/91,1.91,95.3,12475385.0,USA,2012,1,4,Syracuse
Marvin Williams,76,#2,Milwaukee Bucks,F,06/19/86,2.03,108.9,14654179.0,USA,2005,1,2,North Carolina
Delon Wright,76,#55,Dallas Mavericks,G,04/26/92,1.96,82.1,9473684.0,USA,2015,1,20,Utah
Coby White,76,#0,Chicago Bulls,G,02/16/00,1.93,83.9,5307120.0,USA,2019,1,7,North Carolina
Pau Gasol,75,#0,,C,07/06/80,2.16,113.4,5538540.0,Spain,2001,1,3,
Aron Baynes,75,#46,Phoenix Suns,C,12/09/86,2.08,117.9,5453280.0,Australia,2009,Undrafted,Undrafted,Washington State
Kent Bazemore,75,#26,Sacramento Kings,G,07/01/89,1.93,88.5,19269663.0,USA,2012,Undrafted,Undrafted,Old Dominion
Marco Belinelli,75,#18,San Antonio Spurs,G,03/25/86,1.96,90.7,5846154.0,Italy,2007,1,18,
Bismack Biyombo,75,#8,Charlotte Hornets,C,08/28/92,2.03,103.9,17000000.0,Democratic Republic of the Congo,2011,1,7,
Mikal Bridges,75,#25,Phoenix Suns,F-G,08/30/96,1.98,94.8,4161000.0,USA,2018,1,10,Villanova
Wilson Chandler,75,#21,Brooklyn Nets,F-G,05/10/87,2.03,102.1,2564753.0,USA,2007,1,23,DePaul
Damyean Dotson,75,#21,New York Knicks,G,05/06/94,1.96,91.6,1618520.0,USA,2017,2,44,Houston
Kris Dunn,75,#32,Chicago Bulls,G,03/18/94,1.91,93.0,5348007.0,USA,2016,1,5,Providence
Wayne Ellington,75,#2,New York Knicks,G,11/29/87,1.93,90.7,8000000.0,USA,2009,1,28,North Carolina
Bryn Forbes,75,#11,San Antonio Spurs,G,07/23/93,1.88,84.8,2875000.0,USA,2016,Undrafted,Undrafted,Michigan State
Josh Hart,75,#3,New Orleans Pelicans,G,03/06/95,1.96,92.5,1934160.0,USA,2017,1,30,Villanova
John Henson,75,#31,Detroit Pistons,F,12/28/90,2.06,99.8,9732396.0,USA,2012,1,14,North Carolina
Mario Hezonja,75,#44,Portland Trail Blazers,F-G,02/25/95,2.03,91.2,1737145.0,Croatia,2015,1,5,
George Hill,75,#3,Milwaukee Bucks,G,05/04/86,1.91,81.6,10133907.0,USA,2008,1,26,IUPUI
Rondae Hollis-Jefferson,75,#4,Toronto Raptors,F,01/03/95,1.98,95.7,2500000.0,USA,2015,1,23,Arizona
Richaun Holmes,75,#22,Sacramento Kings,F,10/15/93,2.08,110.2,4767000.0,USA,2015,2,37,Bowling Green
James Johnson,75,#0,Minnesota Timberwolves,F,02/20/87,2.01,111.1,15349400.0,USA,2009,1,16,Wake Forest
Luke Kennard,75,#5,Detroit Pistons,G,06/24/96,1.96,88.9,3827160.0,USA,2017,1,12,Duke
Kyle Korver,75,#26,Milwaukee Bucks,F,03/17/81,2.01,96.2,6004753.0,USA,2003,2,51,Creighton
Rodions Kurucs,75,#0,Brooklyn Nets,F,02/05/98,2.06,97.5,1699236.0,Latvia,2018,2,40,
Jake Layman,75,#10,Minnesota Timberwolves,F,03/07/94,2.03,94.8,3581986.0,USA,2016,2,47,Maryland
Robin Lopez,75,#42,Milwaukee Bucks,C,04/01/88,2.13,115.7,4767000.0,USA,2008,1,15,Stanford
Trey Lyles,75,#41,San Antonio Spurs,F,11/05/95,2.06,109.3,5500000.0,Canada,2015,1,12,Kentucky
Boban Marjanovic,75,#51,Dallas Mavericks,C,08/15/88,2.24,131.5,3500000.0,Serbia,2010,Undrafted,Undrafted,
